" RANKING OF TOP 1,000 GLOBAL COMPANIES BY R&D INVESTMENT WITHIN INDUSTRY"
,,,,,,,,,"2009 R&D investment",,,,,,"Operating profit",,,,"Sales and employees",,,,,,"R&D and employees",,,,,,Sales,,
,,,,,,,,,,Growth,,÷ operating,,R&D + capex,,Growth,,,Sales,,,Sales ÷ employees,,,Employees,,,R&D ÷ employees ,,,outside,Market cap,,R&D spend,,
"Yokogawa Electric, Japan",Japan,,,*,9,2737,Electronic equipment,Listed,247.64,-9,9,,9.9,13.7,-41,-137,-135,-1.6,2505,-14,-9,123.7,-14,-14,20247,0,6,12.2,-9,3,17,1042,-27,271.90,240.95,205.65,192.89
"Elpida Memory, Japan",Japan,,,*,9,2733,Electrical components & equipment,Listed,214.47,8,25,,9.7,33.8,-1181,,-1914,-53.6,2202,-18,-1,375.6,-52,-50,5863,69,103,36.6,-36,-38,36,1664,30,199.18,193.19,162.28,131.11
"Fuji Electric, Japan",Japan,,,*,9,2733,Electrical components & equipment,Listed,202.18,-3,1,,4.0,9.0,-292,-234,-244,-5.7,5100,-17,-14,223.7,-7,-5,22799,-11,-10,8.9,9,12,3,1162,33,207.94,216.54,193.04,181.09
"NIDEC, Japan",Japan,,,*,9,2733,Electrical components & equipment,Listed,179.36,-10,-9,48.3,4.3,10.5,372,-26,-10,9.0,4132,-16,4,54.0,6,14,76574,-21,-9,2.3,13,-1,,7632,17,200.22,217.88,194.45,172.40
"Compal Electronics, Taiwan",Taiwan,,,*,9,2737,Electronic equipment,Listed,172.70,19,67,43.8,1.3,1.8,394,37,37,3.0,13074,41,66,,,,,,,,,,,6109,156,145.68,102.77,94.45,70.04
"HTC, Taiwan",Taiwan,,,*,9,2737,Electronic equipment,Listed,162.10,-10,82,34.2,5.8,7.1,474,-19,-1,16.9,2797,-5,29,339.1,8,,8249,-12,,19.7,2,,79,9788,92,181.05,71.74,57.58,46.45
"Legrand, France",France,,,,9,2733,Electrical components & equipment,Listed,152.47,-6,-1,32.7,4.8,6.9,466,-18,-7,14.7,3179,-15,-7,107.3,0,1,29628,-15,-8,5.1,10,6,39,5217,29,162.51,156.29,156.02,144.29
"Kudelski, Switzerland",Switzerland,,,,9,2737,Electronic equipment,Listed,141.80,7,19,343.5,22.5,25.1,41,200,-15,6.5,630,2,26,213.4,-8,-10,2954,11,38,48.0,-4,-16,,821,41,132.71,126.14,116.99,99.18
"Chi Mei Optoelectronics, Taiwan (now part of Chimei Innolux)",Taiwan,,,*,9,2733,Electrical components & equipment,Unlisted,134.33,-2,42,451.1,2.2,36.0,30,-97,-93,0.5,6159,5,64,163.7,-52,-31,37623,117,142,3.6,-55,-40,,,,137.06,105.60,83.24,53.39
"Agfa-Gevaert, Belgium",Belgium,,,,9,2737,Electronic equipment,Listed,134.16,-16,-23,92.1,5.5,6.7,146,,183,6.0,2448,-9,-15,212.7,-1,1,11508,-8,-16,11.7,-8,-8,,435,19,159.04,177.70,179.48,179.48
"Thomson (now Technicolor), France",France,,,,9,2737,Electronic equipment,Listed,131.50,-42,-50,314.9,3.6,6.1,42,,,1.1,3641,-16,-34,174.9,-9,-13,20818,-9,-24,6.3,-37,-35,,498,114,228.34,280.76,294.09,244.34
"Delta Electronics, Taiwan",Taiwan,,,*,9,2737,Electronic equipment,Listed,130.54,5,34,54.7,5.4,8.6,239,-3,-2,9.9,2414,-12,9,,,,,,,,,,,5088,33,124.81,98.92,90.18,74.43
"TomTom, The Netherlands",The Netherlands,,,,9,2737,Electronic equipment,Listed,129.46,2,125,67.0,9.8,10.6,193,,481,14.7,1315,-12,8,399.1,-27,-73,3294,22,179,39.3,-17,-15,,781,-50,127.37,59.89,33.35,9.07
"AU Optronics, Taiwan",Taiwan,,,*,9,2737,Electronic equipment,Listed,119.76,16,19,,1.7,18.7,-489,-184,-183,-7.0,6957,-15,2,135.4,-29,-22,51378,19,30,2.3,-2,-14,,5074,-14,103.29,113.66,92.21,94.53
"Hoya, Japan",Japan,,,*,9,2737,Electronic equipment,Listed,117.27,1,23,69.5,3.9,11.4,169,-74,-73,5.6,3021,-6,19,87.3,-3,-5,34592,-3,25,3.4,4,-3,34,5937,-1,115.83,99.25,94.02,72.88
"Hitachi Kokusai Electric, Japan",Japan,,,*,9,2737,Electronic equipment,Listed,113.53,-4,20,,13.3,16.4,-77,-168,-188,-9.0,855,-35,-28,174.8,-35,,4894,0,,23.2,-4,,,505,2,118.53,95.90,85.24,77.59
"BYD, China",China,,,*,9,2737,Electronic equipment,Listed,102.54,12,84,25.3,2.9,17.7,405,161,193,11.3,3580,47,134,22.4,20,53,160000,23,62,0.6,-9,21,,8949,22,91.45,80.82,25.50,25.66
"Fujikura, Japan",Japan,,,*,9,2733,Electrical components & equipment,Listed,99.70,7,18,,2.6,8.4,-74,-172,-148,-1.9,3816,-13,11,82.1,-7,-8,46466,-6,20,2.1,14,-6,,996,-20,93.05,81.76,81.50,80.67
"Tatung, Taiwan",Taiwan,,,*,9,2733,Electrical components & equipment,Listed,97.61,-14,-18,,4.2,10.7,-770,,,-33.5,2299,-37,-41,,,,,,,,,,,1860,169,113.85,150.69,107.74,104.74
"Molex, USA",USA,,,*,9,2737,Electronic equipment,Listed,95.36,-3,-1,112.5,5.1,12.8,85,,-15,4.6,1862,16,0,52.4,-17,-14,35519,41,16,2.7,-31,-16,,1867,1,98.58,101.55,98.52,87.25
"Gemalto, The Netherlands",The Netherlands,,,,9,2737,Electronic equipment,Listed,92.93,6,23,76.4,6.4,8.9,122,6,576,8.4,1451,-2,23,145.1,-2,11,10000,0,12,9.3,6,10,44,2065,3,87.39,94.24,78.55,42.75
"National Instruments, USA",USA,,,*,9,2737,Electronic equipment,Listed,90.13,-5,14,304.0,21.5,24.6,30,-50,-47,7.1,419,-18,-3,81.8,-17,-16,5120,-1,15,17.6,-4,0,,1434,19,94.51,83.48,74.61,62.69
"Cooper Industries, Ireland",Ireland,,,*,9,2733,Electrical components & equipment,Listed,87.37,0,40,25.9,2.8,5.3,337,-38,-28,10.7,3139,-22,-9,111.1,-14,-1,28255,-9,-8,3.1,10,53,,4372,30,87.81,65.45,51.71,44.28
"Funai Electric, Japan",Japan,,,*,9,2737,Electronic equipment,Listed,86.85,-12,-5,,4.3,5.9,-19,,-116,-0.9,2014,9,-15,777.6,11,13,2590,-1,-25,33.5,-10,22,83,694,-17,98.37,93.37,93.81,80.41
"Trimble Navigation, USA",USA,,,*,9,2737,Electronic equipment,Listed,84.61,-8,17,154.9,12.1,13.3,55,-54,-45,7.8,697,-15,6,183.8,-12,-10,3794,-4,18,22.3,-4,-1,50,2050,12,91.81,81.41,64.30,52.19
"Endress & Hauser, Switzerland",Switzerland,,,,9,2737,Electronic equipment,Unlisted,83.61,6,19,110.9,8.6,14.5,75,-46,-34,7.7,974,-9,5,115.7,-9,-6,8419,0,12,9.9,6,5,41,,,78.89,67.13,70.21,65.94
"Anritsu, Japan",Japan,,,*,9,2737,Electronic equipment,Listed,77.85,-17,-9,,13.9,16.2,-10,,-205,-1.7,558,-16,-11,151.0,-10,-5,3697,-7,-5,21.1,-11,-3,37,488,51,93.89,93.60,83.21,69.94
"Ibiden, Japan",Japan,,,*,9,2733,Electrical components & equipment,Listed,76.88,7,43,1751.3,3.7,21.0,4,-99,-99,0.2,2057,-25,-10,181.3,-16,-16,11346,-11,7,6.8,20,35,27,2446,-21,71.75,57.89,45.24,39.78
"Itron, USA",USA,,,*,9,2737,Electronic equipment,Listed,75.74,1,52,341.2,7.2,10.4,22,-66,-45,2.1,1045,-12,48,116.1,-15,-20,9000,3,67,8.4,-2,-25,,1425,10,74.74,58.78,36.40,28.81
"Ingenico, France",France,,,,9,2737,Electronic equipment,Listed,74.28,24,63,173.8,11.9,13.8,43,-16,84,6.9,623,-4,25,220.0,-15,-32,2830,13,76,26.2,10,-12,45,759,18,60.02,41.04,38.13,43.21
"Techtronic Industries, Hong Kong",Hong Kong,,,*,9,2733,Electrical components & equipment,Listed,73.73,3,28,92.0,3.8,6.8,80,52,-2,4.2,1915,-10,0,114.2,4,27,16772,-13,-22,4.4,19,62,96,782,-10,71.58,59.12,49.61,50.33
"EPCOS, Germany (now part of TDK, Japan)",Germany,,,,9,2737,Electronic equipment,Unlisted,73.01,6,14,,7.2,15.2,-72,-180,-382,-7.1,1019,-22,-18,52.3,-16,-23,19502,-8,6,3.7,15,7,46,,,68.99,57.01,68.13,62.46
"Citizen, Japan",Japan,,,*,9,2737,Electronic equipment,Listed,70.02,-3,-8,,3.5,9.8,-213,-259,-220,-10.8,1975,-12,-13,113.8,12,-3,17359,-22,-11,4.0,24,2,29,1172,-10,71.84,91.68,73.64,67.96
"Chunghwa Picture Tubes, Taiwan",Taiwan,,,*,9,2737,Electronic equipment,Listed,69.02,-18,-21,,6.2,14.0,-722,,,-64.4,1121,-51,-54,,,,,,,,,,,690,-3,84.27,120.00,76.44,68.47
"CommScope, USA",USA,,,*,9,2733,Electrical components & equipment,Listed,66.54,-20,84,44.8,3.6,4.9,148,,116,7.9,1873,-25,36,149.8,-10,-8,12500,-17,27,5.3,-4,35,46,1226,-22,83.46,21.25,20.37,19.41
"HORIBA, Japan",Japan,,,*,9,2737,Electronic equipment,Listed,65.39,-8,13,211.0,9.4,13.2,31,-57,-63,4.5,695,-22,-22,135.5,-22,-27,5133,0,6,12.7,-8,7,49,620,4,70.92,63.02,54.42,43.59
"Yaskawa Electric, Japan",Japan,,,*,9,2737,Electronic equipment,Listed,64.56,0,14,56.6,2.8,5.2,114,-54,-24,4.9,2330,-8,1,275.3,-10,-5,8463,1,7,7.6,-2,7,,1113,-1,64.78,55.99,53.70,51.47
"Yamatake, Japan",Japan,,,*,9,2737,Electronic equipment,Listed,64.10,-2,10,57.5,4.1,7.0,111,-1,25,7.1,1571,-5,11,187.5,-6,5,8377,1,5,7.7,-3,4,,1185,25,65.48,58.38,55.61,54.35
"Hamamatsu Photonics, Japan",Japan,,,*,9,2737,Electronic equipment,Listed,63.33,-6,1,312.5,13.2,27.1,20,-85,-82,4.2,479,-27,-19,126.2,-28,-25,3793,1,8,16.7,-7,-7,52,1473,43,67.59,64.52,61.07,58.85
"Novatek Microelectronics, Taiwan",Taiwan,,,*,9,2737,Electronic equipment,Listed,62.11,12,83,80.9,11.9,11.9,77,10,-30,14.7,523,3,-10,,,,,,,,,,,951,1,55.24,31.01,26.35,23.22
"TPO Displays, Taiwan (now part of Chimei Innolux)",Taiwan,,,*,9,2733,Electrical components & equipment,Unlisted,61.39,19,60,,9.5,9.5,-37,,,-5.8,644,-11,27,,,,,,,,,,,,,51.47,48.03,27.51,26.00
"PerkinElmer, USA",USA,*,,*,9,2737,Electronic equipment,Listed,61.30,-8,-3,73.1,5.9,7.7,84,-19,-15,8.1,1036,-14,-4,126.3,-17,-4,8200,4,-1,7.5,-12,-2,60,1565,23,66.92,69.12,61.75,54.10
"Shimadzu, Japan",Japan,,,*,9,2737,Electronic equipment,Listed,60.77,4,10,55.8,3.3,3.3,109,-36,-22,6.0,1815,-6,6,187.7,,,9670,,,6.3,,,18,1253,-7,58.50,57.21,53.40,52.63
"Keyence, Japan",Japan,,,*,9,2737,Electronic equipment,Listed,59.09,9,38,13.7,5.4,7.3,432,-37,-27,39.3,1100,-18,-3,358.6,-21,,3067,5,,19.3,4,,,7389,17,54.39,44.90,39.63,31.92
"Leoni, Germany",Germany,,,,9,2733,Electrical components & equipment,Listed,58.76,-24,14,,3.1,6.6,-108,-338,-217,-5.6,1919,-26,-3,40.8,-17,-21,47001,-10,22,1.3,-15,-5,,480,14,77.31,48.86,40.42,39.62
"Spectris, UK",UK,,,,9,2733,Electrical components & equipment,Listed,58.20,2,21,85.3,7.4,8.9,68,-40,-27,8.7,787,0,13,136.6,-1,13,5764,1,0,10.1,1,21,59,1036,53,57.00,45.20,44.70,44.90
"Nexans, France",France,,,,9,2733,Electrical components & equipment,Listed,56.86,2,11,47.1,1.3,4.2,121,-35,-42,2.7,4482,-26,-26,197.3,-23,-30,22716,-3,6,2.5,5,6,,1102,33,55.98,53.31,48.87,46.20
"Energizer, USA",USA,,,*,9,2733,Electrical components & equipment,Listed,56.04,-1,18,14.8,2.3,5.8,378,-9,18,15.3,2477,-8,16,159.8,-2,18,15500,-6,-1,3.6,5,19,,2699,-8,56.78,43.78,45.95,43.28
"MiTAC International, Taiwan",Taiwan,,,*,9,2737,Electronic equipment,Listed,55.81,14,24,1651.6,4.6,4.6,3,-26,-96,0.3,1225,-2,-23,,,,,,,,,,,390,-9,49.07,49.40,44.24,37.20
"ULVAC, Japan",Japan,,,*,9,2737,Electronic equipment,Listed,55.50,-3,8,343.0,3.7,3.7,16,-70,-81,1.1,1489,-7,1,213.1,-9,-24,6987,2,29,7.9,-4,-18,3,518,-33,57.11,58.97,47.01,42.45
"Barco, Belgium",Belgium,,,,9,2737,Electronic equipment,Listed,54.36,-22,-22,,9.6,10.2,-65,,-324,-11.5,567,-18,-17,171.4,-10,-4,3310,-9,-15,16.4,-14,-9,,374,-1,69.27,72.26,70.43,65.15
"Zebra Technologies, USA",USA,,,*,9,2737,Electronic equipment,Listed,52.69,0,43,125.8,10.6,13.7,42,,-25,8.4,498,-18,-3,184.3,-2,5,2700,-16,-8,19.5,18,57,55,998,9,52.71,35.67,30.32,28.49
"Japan Radio, Japan",Japan,,,*,9,2737,Electronic equipment,Listed,51.90,-7,-34,781.1,6.4,7.3,7,-76,,0.8,817,-7,-26,216.8,-7,-9,3770,1,-24,13.8,-8,-16,14,198,-8,56.08,47.31,87.19,124.83
"Roper Industries, USA",USA,,,*,9,2737,Electronic equipment,Listed,51.64,-5,25,20.9,4.1,5.3,247,-19,4,19.5,1269,-11,8,165.9,-8,0,7650,-3,10,6.8,-1,15,,3465,32,54.12,42.05,36.29,33.13
"Samsung C&T, South Korea",South Korea,,,*,9,2737,Electronic equipment,Listed,51.42,4,27,10.5,0.5,2.0,491,116,59,5.0,9838,-10,8,,,,,,,,,,,4900,25,49.52,40.36,31.28,
"Sick, Germany",Germany,,,,9,2737,Electronic equipment,Unlisted,50.04,-22,-10,584.9,9.4,11.3,9,-86,-85,1.6,530,-19,-11,106.2,-18,-20,4995,-1,11,10.0,-21,-19,,,,64.05,59.19,50.77,47.79
"TPV Technology, Bermuda",Bermuda,,,*,9,2737,Electronic equipment,Listed,49.63,19,59,43.0,1.0,2.4,116,17,-5,2.3,4974,-13,7,168.7,-16,-6,29479,3,16,1.7,15,40,53,923,34,41.70,33.54,31.82,18.08
"Innolux Display (now Chimei Innolux), Taiwan",Taiwan,,,*,9,2737,Electronic equipment,Listed,45.42,15,55,,1.4,25.6,-57,-157,-142,-1.8,3189,3,39,,,,,,,,,,,5302,113,39.34,26.89,32.29,18.82
"Aeroflex, USA",USA,,,*,9,2737,Electronic equipment,Unlisted,43.54,-9,-4,,11.7,14.9,-11,,-370,-2.9,371,-9,5,137.5,,,2700,,,16.1,,,41,,,48.03,47.87,47.00,38.02
10 Equity investment instruments (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No companies with sufficient R&D for inclusion,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Financial services (7),,,,,,,,,408.74,17.6,39.9,462.2,3.2,4.9,88,-95.8,-95.5,0.7,12619,-19.2,18.1,173.0,-14.2,-1.9,72931,-5.9,22.5,5.6,25.0,12.4,,14859,-7.6,347.56,317.39,296.87,206.91
"Deutsche Borse, Germany",Germany,,,,11,8777,Investment services,Listed,79.25,-15,-9,14.2,4.1,5.8,560,-58,-43,29.2,1918,-20,-2,540.5,-25,-14,3549,6,14,22.3,-20,-20,17,7907,-11,92.94,98.89,93.29,64.24
"SEI Investments, USA",USA,,,*,11,8771,Asset managers,Listed,64.34,-12,-21,29.0,9.8,11.6,222,67,3,33.8,657,-15,-7,286.8,-16,-9,2290,1,3,28.1,-13,-23,,2250,0,72.76,87.87,86.14,78.46
"Wendel, France",France,,,,11,8775,Specialty finance,Listed,59.26,3,57,,1.3,4.0,-1057,-874,-485,-24.0,4410,-13,8,85.8,-9,-11,51395,-4,21,1.2,8,37,,1739,33,57.31,46.56,32.35,14.84
"Arques Industries, Germany",Germany,,,,11,8775,Specialty finance,Listed,53.94,71,482,,1.7,2.4,-141,,-1019,-4.5,3103,-37,59,329.5,-17,34,9417,-23,45,5.7,123,497,,33,-29,31.57,2.64,1.33,1.51
"Investment Technology, USA",USA,,,*,11,8777,Investment services,Listed,53.19,7,41,108.8,13.6,16.0,49,-61,-54,12.5,392,-17,1,331.4,-7,-7,1183,-11,10,45.0,20,30,,380,-41,49.73,42.91,35.36,23.10
"LCH Clearnet, UK",UK,,,,11,8777,Investment services,Unlisted,49.75,226,139,19.1,9.8,10.7,261,14,96,51.2,510,15,42,856.4,-2,17,595,16,21,83.6,180,97,0,,,15.27,14.22,35.60,18.07
"ICAP, UK",UK,,,,11,8777,Investment services,Listed,49.00,75,173,25.1,3.0,4.1,195,-33,-15,12.0,1629,2,33,361.8,-4,7,4502,6,25,10.9,65,128,,2549,-12,28.00,24.30,12.80,6.70
12 Fixed line telecommunications (16),,,,,,,,,7632.92,1.2,16.9,11.1,1.8,12.9,68927,-1.1,6.2,16.0,431851,-0.9,8.1,229.7,0.9,5.1,1879690,-1.8,3.0,4.1,3.1,12.9,,465475,-8.8,7540.17,7022.00,6051.68,5513.98
"NTT, Japan",Japan,,,*,12,6535,Fixed line telecommunications,FT Global 500,1784.00,-1,-8,23.6,2.6,16.1,7564,-18,-10,10.9,69287,-2,-3,353.0,-4,-2,196296,1,-1,9.1,-2,-7,,86181,-29,1803.01,1809.71,2051.72,2115.77
"BT, UK",UK,,,,12,6535,Fixed line telecommunications,FT Global 500,1029.00,-8,-2,49.0,4.9,13.9,2102,370,8,10.1,20859,-2,2,205.1,6,7,101700,-8,-5,10.1,0,3,,10739,3,1119.00,1252.00,1119.00,727.00
"Telstra, Australia",Australia,,,*,12,6535,Fixed line telecommunications,FT Global 500,785.25,-6,38,21.4,5.5,18.0,3661,6,9,25.8,14205,3,9,329.0,11,17,43181,-7,-7,18.2,1,50,,20157,-14,839.83,780.80,348.07,307.42
"France Telecom, France",France,,,,12,6535,Fixed line telecommunications,FT Global 500,765.88,-4,2,10.6,1.7,10.3,7199,-21,-13,15.9,45271,-5,-2,270.8,4,10,167148,-9,-11,4.6,5,15,,34507,-15,799.65,794.31,760.55,636.16
"Telecom Italia, Italy",Italy,,,,12,6535,Fixed line telecommunications,FT Global 500,748.11,20,196,17.1,3.0,11.9,4366,-7,-24,17.3,25166,-7,-9,348.9,-2,-3,72132,-5,-6,10.4,26,214,,15522,-5,625.50,108.40,118.17,159.93
"Telefonica, Spain",Spain,,,,12,6535,Fixed line telecommunications,FT Global 500,690.36,16,30,5.8,1.4,11.9,11936,0,29,23.7,50405,-2,10,197.6,-3,0,255151,1,11,2.7,15,16,40,63239,-10,593.51,527.77,522.43,483.34
"AT&T, USA",USA,,,*,12,6535,Fixed line telecommunications,FT Global 500,610.56,19,82,4.4,0.8,14.3,13901,-3,41,18.2,76177,-1,41,271.1,6,42,281000,-7,2,2.2,27,91,,97770,5,515.20,609.95,138.09,80.50
"Deutsche Telekom, Germany",Germany,,,,12,6535,Fixed line telecommunications,FT Global 500,383.83,-30,-17,7.1,0.7,12.1,5390,-2,0,9.4,57398,5,5,222.8,-4,-1,257601,10,6,1.5,-36,-22,25,36104,6,545.54,486.90,432.70,384.72
"KT, South Korea",South Korea,,,*,12,6535,Fixed line telecommunications,Listed,214.53,5,7,44.1,2.1,16.2,487,-51,-56,4.7,10449,0,7,338.8,14,28,30841,-12,-16,7.0,20,28,,5742,11,203.82,215.32,184.06,195.88
"Portugal Telecom, Portugal",Portugal,,,,12,6535,Fixed line telecommunications,Listed,189.25,42,,15.6,3.2,19.0,1215,12,11,20.5,5932,-1,1,160.2,-14,-15,37021,16,18,5.1,23,,,6264,,133.27,,,9.86
"Swisscom, Switzerland",Switzerland,,,,12,6535,Fixed line telecommunications,FT Global 500,122.21,119,201,7.5,1.7,13.7,1628,1,5,22.6,7189,-2,12,362.9,-2,0,19813,0,12,6.2,119,172,,11845,9,55.71,44.93,28.16,33.55
"TeliaSonera, Sweden",Sweden,,,,12,6535,Fixed line telecommunications,FT Global 500,81.79,-16,-56,3.1,0.9,11.4,2640,6,25,27.9,9467,5,15,328.6,10,13,28815,-4,2,2.8,-13,-57,13,20258,17,97.74,175.28,216.04,249.35
"KPN, The Netherlands",The Netherlands,,,,12,6535,Fixed line telecommunications,FT Global 500,70.19,5,54,2.8,0.6,11.3,2488,12,22,20.8,11951,-7,6,342.2,7,-8,34925,-13,14,2.0,21,41,,13689,-11,66.64,82.63,15.10,17.77
"Chunghwa Telecom, Taiwan",Taiwan,,,*,12,6535,Fixed line telecommunications,FT Global 500,61.43,1,14,5.6,1.6,14.4,1100,-3,2,28.7,3840,-2,3,155.7,8,8,24668,-9,-6,2.5,11,21,,12032,6,60.87,50.07,54.68,49.97
"China Telecom, China",China,,,,12,6535,Fixed line telecommunications,Listed,49.44,11,39,2.3,0.3,1.1,2136,348,-20,11.2,18991,12,18,60.8,13,2,312520,-1,15,0.2,12,22,,24188,-9,44.45,47.53,26.49,23.67
"Belgacom, Belgium",Belgium,,,,12,6535,Fixed line telecommunications,Listed,47.09,29,27,4.2,0.9,8.4,1115,9,4,21.2,5262,0,1,311.7,4,7,16878,-3,-5,2.8,34,33,,7238,-3,36.43,36.43,36.43,39.09
13 Food & drug retailers (3),,,,,,,,,493.75,-11.5,10.6,8.9,0.3,2.1,5541,10.3,22.5,3.0,185906,5.2,17.4,337.3,4.7,7.6,551094,0.5,9.2,0.9,-11.9,1.8,,49036,8.2,557.91,451.74,412.86,363.44
"McKesson, USA",USA,,,*,13,5333,Drug retailers,FT Global 500,279.28,3,20,22.3,0.4,0.6,1250,75,58,1.9,67312,2,12,2071.1,2,6,32500,0,5,8.6,3,15,9,9819,8,271.22,260.08,222.92,175.86
"Tesco, UK",UK,,,,13,5337,Food retailers & wholesalers,FT Global 500,111.00,-42,-21,3.6,0.2,5.3,3113,1,16,5.5,56910,5,24,120.5,4,11,472094,1,11,0.2,-43,-29,15,32185,11,192.00,128.00,129.00,115.00
"Cardinal Health, USA",USA,,,*,13,5333,Drug retailers,Listed,103.47,9,42,8.8,0.2,0.7,1178,-4,11,1.9,61684,9,18,1326.5,12,26,46500,-2,-8,2.2,12,51,,7031,-4,94.68,63.66,60.93,72.57
14 Food producers (19),,,,,,,,,4611.56,0.5,10.5,16.9,2.2,6.2,27360,4.5,2.6,12.8,212990,-3.4,-3.0,232.5,-1.6,7.5,915947,-1.8,-8.8,5.0,2.4,16.2,,284480,8.9,4589.05,4018.32,3559.48,3279.30
"Nestle, Switzerland",Switzerland,,,,14,3577,Food products,FT Global 500,1330.50,-5,19,14.1,2.1,6.4,9417,7,14,14.6,64469,-2,5,231.9,0,2,278000,-2,4,4.8,-3,16,,107211,20,1401.19,1123.23,1038.76,897.98
"Unilever, UK",UK,,,,14,3577,Food products,FT Global 500,791.65,-4,-2,17.4,2.2,5.7,4559,0,-2,12.9,35382,-2,-1,210.6,2,10,168000,-3,-10,4.7,0,8,,50214,-2,823.63,771.21,804.98,846.74
"Monsanto, USA",USA,,,*,14,3573,Farming & fishing,FT Global 500,679.92,12,43,36.1,9.4,17.2,1885,4,111,25.9,7270,1,39,317.5,-4,14,22900,6,23,29.7,6,17,,19173,-30,606.85,483.00,448.94,364.11
"Kraft Foods, USA",USA,,,*,14,3577,Food products,FT Global 500,295.37,-4,,8.6,1.2,4.5,3439,35,,13.8,25008,-6,,257.8,-5,,97000,-1,,3.0,-3,,,31860,24,309.00,276.80,,
"Ajinomoto, Japan",Japan,,,*,14,3577,Food products,Listed,224.60,3,9,194.3,2.8,7.6,116,-68,-70,1.5,7918,-2,5,294.7,-6,0,26869,4,5,8.4,-1,4,17,4218,1,218.67,211.28,203.11,189.12
"Danone, France",France,,,,14,3577,Food products,FT Global 500,183.03,4,39,10.0,1.4,5.4,1825,-15,2,13.7,13311,-2,5,164.4,-3,7,80976,1,-3,2.3,3,42,,21907,5,175.92,126.17,111.95,111.06
"General Mills, USA",USA,,,*,14,3577,Food products,FT Global 500,134.99,5,12,8.4,1.5,5.9,1614,16,22,17.6,9162,1,13,277.7,-8,-1,33000,10,14,4.1,-5,-1,,14057,21,128.80,126.76,118.27,107.13
"Kerry, Ireland",Ireland,,,,14,3577,Food products,Listed,131.28,0,6,44.2,3.3,5.1,297,19,4,7.4,4017,-6,-3,182.6,-4,0,21997,-1,-4,6.0,2,10,37,3411,24,131.02,129.04,123.52,110.83
"Kellogg, USA",USA,,,*,14,3577,Food products,FT Global 500,112.08,0,-1,9.1,1.4,4.4,1229,4,9,15.8,7787,-2,10,252.0,3,-2,30900,-5,12,3.6,5,-13,,11846,8,112.08,110.84,118.03,112.08
"Vilmorin, France",France,,,,14,3573,Farming & fishing,Listed,109.46,12,68,148.1,12.3,16.2,74,-28,9,8.3,890,12,42,170.0,-6,8,5236,19,34,20.9,-5,31,40,985,19,97.56,88.94,39.63,33.76
"Danisco, Denmark",Denmark,,,,14,3577,Food products,Listed,97.43,13,6,98.3,6.0,10.9,99,37,-41,6.1,1637,-26,-30,238.8,-3,1,6853,-24,-31,14.2,49,54,63,2292,59,85.85,85.85,95.88,100.18
"Meiji Seika Kaisha, Japan (now part of Meiji)",Japan,,,*,14,3577,Food products,Unlisted,97.06,-1,-9,172.9,3.5,8.2,56,-28,24,2.0,2754,2,7,397.9,-4,-3,6922,7,9,14.0,-7,-15,,,,98.22,105.94,110.27,112.10
"KWS SAAT, Germany",Germany,,,,14,3573,Farming & fishing,Listed,75.10,7,14,116.2,11.8,17.6,65,-2,24,10.1,637,20,34,198.2,6,13,3215,13,19,23.4,-5,-5,35,643,-11,70.15,65.43,65.46,63.39
"Cadbury, UK (now part of Kraft Foods, USA)",UK,,,,14,3577,Food products,Unlisted,72.00,13,15,13.8,1.2,6.9,522,-9,-38,8.6,6077,-10,-17,134.5,9,15,45179,-17,-28,1.6,36,59,,,,64.00,59.00,69.00,58.00
"Campbell Soup, USA",USA,,,*,14,3577,Food products,Listed,70.59,-1,8,9.7,1.5,6.1,729,3,-3,15.5,4698,-10,-4,251.2,-6,14,18700,-4,-17,3.8,3,28,,7609,15,71.21,69.35,61.30,58.83
"Yakult Honsha, Japan",Japan,,,*,14,3577,Food products,Listed,61.52,3,26,119.5,3.2,12.7,51,-74,-71,2.6,1952,-8,6,112.5,-16,-8,17361,10,16,3.5,-6,8,,3168,32,59.55,44.87,46.34,45.07
"ConAgra Foods, USA",USA,,,*,14,3577,Food products,Listed,49.91,17,26,4.7,0.6,4.0,1061,3,31,13.2,8038,-6,-8,314.0,-8,6,25600,2,-15,2.0,14,31,,5886,10,42.67,42.29,33.50,
"FrieslandCampina, The Netherlands",The Netherlands,,,,14,3577,Food products,Unlisted,48.87,8,47,20.4,0.7,3.3,239,11,10,3.3,7250,-14,19,361.9,-11,11,20034,-3,10,2.4,11,39,31,,,45.31,47.98,21.32,18.66
"Meiji Dairies, Japan (now part of Meiji)",Japan,,,*,14,3577,Food products,Unlisted,46.20,-2,-6,55.5,1.0,4.4,83,-23,-34,1.8,4732,1,0,656.8,0,0,7205,1,0,6.4,-3,-7,,,,47.37,50.35,49.21,50.27
15 Forestry & paper (3),,,,,,,,,203.30,-0.4,-3.5,101.5,0.8,4.5,200,-35.1,-78.5,0.8,25991,-9.2,-11.5,263.5,-1.6,1.5,98642,-7.7,-12.9,2.1,7.8,10.6,,13334,11.5,204.10,221.09,206.45,211.48
