Company,Company ID,Country,Country GDP $,Not IFRS,Industry group,ICB code,Industry description,Listing status,2009 R&D investment,1 Yr R&D investment growth%,4 Yr R&D investment growth%,R&D investment / operation profit%,R&D investment / sales%,R&D + capex / sales%,Operating profit,If made profit,1 Yr operating profit%,4 Yr operating profit%,Operating profit / sales%,Sales,1 Yr sales growth%,4 Yr sales growth%,Employees,1 Yr employees growth%,4 Yr employees growth%,R&D / employees ,1 Yr R&D / employees growth%,4 Yr R&D / employees growth%,Sales outside region%,Market cap,Market cap change%,If market cap increase,R&D spend 2008,R&D spend 2007,R&D spend 2006,R&D spend 2005
"Atheros Communications, USA",85,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,80.87,7,53,647.8,24.1,24.8,12,Yes,94,21,3.7,336,15,58,1302,21,77,62.1,-11,-17,,1126,21,Yes,75.28,62.50,44.02,29.59
"Krka, Slovenia",368,Slovenia,47522665837.1793,,34,4577,Pharmaceuticals,Listed,78.44,4,49,37.3,9.3,18.0,210,Yes,0,37,24.8,847,0,29,7975,5,26,9.8,-1,21,0,1866,-16,No,75.30,52.48,46.78,35.64
"Kissei Pharmaceutical, Japan",371,Japan,5470777391091.97,*,34,4577,Pharmaceuticals,Listed,76.88,2,9,440.8,17.9,19.5,17,Yes,-33,-31,4.1,429,5,3,1870,1,6,41.1,0,3,,673,-21,No,75.57,69.66,70.34,65.81
"Brunswick, USA",505,USA,14617299295858.1,*,24,3745,Recreational products,Listed,54.80,-28,-34,,3.2,4.4,-365,No,,-1016,-21.2,1719,-41,-50,15003,-24,-41,3.7,-5,12,,811,67,Yes,75.67,83.29,81.86,89.60
"VeriSign, USA",188,USA,14617299295858.1,*,37,9537,Software,Listed,69.64,-9,-16,32.5,9.0,18.3,214,Yes,632,737,27.6,778,-19,-20,2328,-29,-45,29.9,29,49,,3076,23,Yes,76.46,117.72,80.09,59.04
"ARM, UK",75,UK,2427911661952.04,,39,9576,Semiconductors,Listed,104.56,36,42,230.0,34.3,36.3,45,Yes,-24,1,14.9,305,2,16,1723,1,13,60.7,35,24,85,4056,162,Yes,76.73,73.78,74.70,70.22
"Oji Paper, Japan",895,Japan,5470777391091.97,*,15,1737,Paper,Listed,68.81,-11,-12,99.6,0.8,0.8,69,Yes,-69,-79,0.8,8429,-4,2,20415,2,4,3.4,-12,-15,,3183,10,Yes,77.16,75.83,81.82,76.50
"Assa Abloy, Sweden",869,Sweden,466459315772.176,,7,2353,Building materials & fixtures,Listed,77.28,0,20,20.1,2.5,4.1,385,Yes,6,5,12.7,3040,0,10,29375,-10,-7,2.6,12,29,54,4494,31,Yes,77.19,67.30,62.36,51.00
"Leoni, Germany",780,Germany,3260114884059.16,,9,2733,Electrical components & equipment,Listed,58.76,-24,14,,3.1,6.6,-108,No,-338,-217,-5.6,1919,-26,-3,47001,-10,22,1.3,-15,-5,,480,14,Yes,77.31,48.86,40.42,39.62
"Getinge, Sweden",462,Sweden,466459315772.176,,19,4535,Medical equipment,Listed,95.49,23,82,35.9,4.8,9.2,266,Yes,7,38,13.5,1979,18,51,12146,5,33,7.9,18,39,,2889,40,Yes,77.54,54.55,41.66,35.77
"Mitsubishi Materials, Japan",890,Japan,5470777391091.97,*,22,1755,Nonferrous metals,Listed,78.84,2,8,64.9,0.8,5.4,121,Yes,-86,-78,1.3,9473,-14,9,21224,9,9,3.7,-7,-2,10,2350,2,Yes,77.67,73.92,72.23,69.51
"Zymogenetics, USA",419,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,61.42,-22,-20,,72.4,73.7,-20,No,,,-23.4,85,85,203,323,-39,-37,190.2,28,28,,256,16,Yes,78.44,88.14,79.54,61.69
"Cubist Pharmaceuticals, USA",407,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,105.63,35,114,124.9,30.3,32.3,85,Yes,202,725,24.3,348,30,115,600,8,32,176.0,24,68,,798,15,Yes,78.44,52.74,35.55,30.32
"Tyco International, Switzerland",810,Switzerland,566764598976.798,*,17,2727,Diversified industrials,FT Global 500,73.07,-7,-61,,0.7,4.8,-926,No,-173,-140,-8.7,10676,-20,-52,106000,-6,,0.7,-1,,,11243,23,Yes,78.64,74.93,69.35,517.68
"Logitech International, Switzerland",142,Switzerland,566764598976.798,*,39,9572,Computer hardware,Listed,84.10,5,21,173.3,6.9,8.9,49,Yes,-27,-62,4.0,1218,-11,-7,9944,57,31,8.5,-33,-9,,1816,-11,No,79.73,77.12,67.04,54.46
"TOTO, Japan",868,Japan,5470777391091.97,*,7,2353,Building materials & fixtures,Listed,87.06,9,11,,2.8,6.3,-104,No,-187,-170,-3.4,3090,-7,-7,23935,14,21,3.6,-4,-9,5,1476,-6,No,79.83,78.17,77.97,78.40
"Daicel Chemical Industries, Japan",955,Japan,5470777391091.97,*,6,1353,Commodity chemicals,Listed,80.13,0,4,127.2,3.2,10.0,63,Yes,-69,-58,2.5,2514,-9,5,7803,2,17,10.3,-1,-11,,1417,-3,No,79.85,77.94,74.64,74.63
"Unisys, USA",223,USA,14617299295858.1,*,37,9533,Computer services,Listed,63.10,-21,-61,30.9,2.2,3.2,204,Yes,3971,,7.2,2847,-12,-18,25600,-9,-18,2.5,-14,-50,,607,26,Yes,79.88,110.84,208.74,241.25
"Lloyds Banking, UK",255,UK,2427911661952.04,,4,8355,Banks,FT Global 500,63.00,-21,16,6.0,0.1,7.6,1042,Yes,29,-66,2.3,45297,546,168,132000,99,81,0.5,-60,-37,,47815,74,Yes,80.00,47.00,51.00,40.00
"Emulex, USA",143,USA,14617299295858.1,*,39,9572,Computer hardware,Listed,80.37,0,25,10199.6,34.3,40.8,1,Yes,-98,-98,0.3,234,-23,-13,768,-10,12,104.7,12,12,62,419,-17,No,80.03,72.97,55.53,49.52
"Smith International, USA",975,USA,14617299295858.1,*,32,573,Oil equipment & services,Listed,87.31,9,40,23.5,1.7,6.2,371,Yes,-64,-50,7.3,5089,-24,1,21931,-15,13,4.0,28,24,,6283,73,Yes,80.13,68.55,54.68,45.58
"Dexia, Belgium",252,Belgium,467559394365.929,,4,8355,Banks,Listed,75.52,-7,11,6.1,1.4,6.9,1247,Yes,,10,22.9,5441,72,5,27280,-3,13,2.8,-4,0,,5028,-48,No,80.85,85.30,63.08,42.65
"NGK Insulators, Japan",808,Japan,5470777391091.97,*,17,2727,Diversified industrials,Listed,79.08,-2,11,47.9,4.4,15.1,165,Yes,-65,-42,9.1,1817,-25,-12,11205,-3,7,7.1,1,3,32,3374,-31,No,80.93,70.32,63.76,70.87
"Bruker, USA",465,USA,14617299295858.1,*,19,4535,Medical equipment,Listed,75.49,-7,76,91.7,10.9,12.4,82,Yes,23,163,11.9,690,1,87,4500,2,84,16.8,-9,-3,,1328,27,Yes,81.06,35.77,30.19,24.31
"BE Aerospace, USA",847,USA,14617299295858.1,*,1,2713,Aerospace,Listed,63.53,-22,-1,34.7,5.3,6.8,183,Yes,,162,15.3,1200,-8,35,5500,-15,1,11.6,-8,0,51,1733,57,Yes,81.37,79.20,54.86,40.62
"Ingersoll-Rand, Ireland",646,Ireland,218199392507.127,*,21,2757,Industrial machinery,Listed,159.39,96,72,29.1,2.0,3.5,547,Yes,,232,6.7,8171,0,12,57000,-5,28,2.8,106,29,,7054,23,Yes,81.49,79.63,108.68,100.56
"Zeon, Japan",920,Japan,5470777391091.97,*,6,1357,Specialty chemicals,Listed,75.30,-8,7,906.3,4.2,4.2,8,Yes,-94,-94,0.5,1788,-11,0,2882,-9,-2,26.1,1,11,,1035,46,Yes,81.66,78.13,60.85,59.61
"Johnson Matthey, UK",915,UK,2427911661952.04,,6,1357,Specialty chemicals,Listed,87.20,6,28,35.3,1.1,2.6,247,Yes,-12,-7,3.1,7839,0,19,8575,-7,3,10.2,14,24,55,3514,16,Yes,82.50,68.10,63.50,58.80
"QLogic, USA",21,USA,14617299295858.1,*,39,9578,Telecommunications equipment,Listed,84.73,3,11,134.7,24.9,29.4,63,Yes,-40,-38,18.5,340,-13,-9,1038,1,8,81.6,2,3,54,1001,-5,No,82.51,83.39,83.79,55.58
"MTU Aero Engines, Germany",842,Germany,3260114884059.16,,1,2713,Aerospace,Listed,103.33,25,34,47.8,4.5,8.9,216,Yes,-2,22,9.3,2320,-4,6,7618,5,8,13.6,19,25,68,1826,44,Yes,82.63,78.90,71.61,74.46
"Symrise, Germany",918,Germany,3260114884059.16,,6,1357,Specialty chemicals,Listed,80.94,-3,6,58.6,6.7,9.6,138,Yes,-17,23,11.4,1210,3,10,5116,-1,1,15.8,-2,5,50,1868,60,Yes,83.42,73.61,69.59,78.59
"CommScope, USA",778,USA,14617299295858.1,*,9,2733,Electrical components & equipment,Listed,66.54,-20,84,44.8,3.6,4.9,148,Yes,,116,7.9,1873,-25,36,12500,-17,27,5.3,-4,35,46,1226,-22,No,83.46,21.25,20.37,19.41
"OneSteel, Australia",885,Australia,1122922429785.22,,22,1757,Iron & steel,Listed,102.70,23,136,43.2,2.5,5.1,237,Yes,-17,22,5.9,4033,-3,47,11104,-5,30,9.2,29,92,,2297,6,Yes,83.71,36.59,30.52,23.39
"Polycom, USA",24,USA,14617299295858.1,*,39,9578,Telecommunications equipment,Listed,72.81,-13,-2,168.8,12.2,16.1,43,Yes,-25,-16,7.2,599,-10,19,2693,2,27,27.0,-15,-24,,1419,19,Yes,83.78,86.08,70.80,56.65
"Varian Medical Systems, USA",463,USA,14617299295858.1,*,19,4535,Medical equipment,Listed,91.26,9,35,31.9,6.6,9.4,286,Yes,10,35,20.8,1377,7,30,5100,4,21,17.9,4,13,52,4167,46,Yes,83.97,72.71,62.18,50.82
"ArvinMeritor, USA",595,USA,14617299295858.1,*,3,3355,Auto parts,Listed,63.78,-24,-33,,2.2,4.6,-237,No,-285,-1643,-8.3,2859,-36,-48,13200,-33,-44,4.8,14,19,,832,127,Yes,84.22,76.79,109.60,108.37
"Orion Oyj, Finland",370,Finland,241487608810.22,,34,4577,Pharmaceuticals,Listed,77.39,-9,-1,42.1,11.3,14.5,184,Yes,12,16,26.8,685,9,15,3192,-2,1,24.2,-7,-2,22,1710,13,Yes,84.94,79.96,69.84,
"Salzgitter, Germany",887,Germany,3260114884059.16,,22,1757,Iron & steel,Listed,71.67,-16,20,,1.0,9.5,-372,No,-141,-143,-5.4,6946,-37,-18,23770,0,21,3.0,-15,0,,2409,-30,No,84.94,51.36,51.80,51.09
"Crane, USA",672,USA,14617299295858.1,*,21,2757,Industrial machinery,Listed,61.12,-28,15,47.2,4.5,5.8,129,Yes,5,48,9.5,1360,-16,-8,10000,-17,-14,6.1,-14,35,,1276,54,Yes,85.39,60.93,37.71,28.55
"Georg Fischer, Switzerland",668,Switzerland,566764598976.798,,21,2757,Industrial machinery,Listed,69.49,-19,-14,,4.0,9.1,-122,No,-311,-181,-7.0,1741,-35,-30,12481,-13,-4,5.6,-7,-11,,951,75,Yes,85.67,86.26,78.48,74.28
"Danisco, Denmark",542,Denmark,316081424057.807,,14,3577,Food products,Listed,97.43,13,6,98.3,6.0,10.9,99,Yes,37,-41,6.1,1637,-26,-30,6853,-24,-31,14.2,49,54,63,2292,59,Yes,85.85,85.85,95.88,100.18
"Sumitomo Bakelite, Japan",916,Japan,5470777391091.97,*,6,1357,Specialty chemicals,Listed,87.00,1,9,,6.2,12.5,-76,No,-1151,-185,-5.4,1413,-6,-10,8071,-9,-10,10.8,11,17,,813,-5,No,85.88,84.82,75.89,73.46
"Santen Pharmaceutical, Japan",361,Japan,5470777391091.97,*,34,4577,Pharmaceuticals,Listed,122.78,43,39,121.8,18.2,21.1,101,Yes,-26,-23,14.9,676,-2,3,2690,8,13,45.6,32,23,9,1838,11,Yes,86.09,90.88,92.93,83.95
"Lanxess, Germany",953,Germany,3260114884059.16,,6,1353,Commodity chemicals,Listed,89.74,4,8,72.7,2.0,8.6,124,Yes,-57,-46,2.7,4493,-23,-26,14472,-2,-10,6.2,6,19,48,2518,58,Yes,86.18,78.19,77.30,89.74
"Edwards Lifesciences, USA",440,USA,14617299295858.1,*,19,4537,Medical supplies,Listed,108.68,26,48,81.1,13.3,18.1,134,Yes,39,51,16.4,818,7,21,6400,3,13,17.0,22,32,,4023,79,Yes,86.20,75.73,70.72,61.30
"Red Hat, USA",180,USA,14617299295858.1,*,37,9537,Software,Listed,97.01,12,69,141.5,20.9,24.7,69,Yes,34,51,14.8,463,15,61,3200,14,62,30.3,-2,8,,3619,44,Yes,86.74,68.19,48.94,25.32
"Electronics For Imaging, USA",145,USA,14617299295858.1,*,39,9572,Computer hardware,Listed,68.63,-21,-15,,27.6,28.9,-41,No,,,-16.7,248,-28,-28,1827,-10,-4,37.6,-13,-10,,292,-12,No,86.96,87.41,79.20,67.82
"Almirall, Spain",362,Spain,1418409880841.96,,34,4577,Pharmaceuticals,Listed,118.47,36,70,78.7,14.4,16.2,151,Yes,6,33,18.3,822,3,16,3234,-5,4,36.6,42,65,,946,-22,No,87.25,90.09,49.32,51.50
"Gemalto, The Netherlands",729,The Netherlands,835338475725.744,,9,2737,Electronic equipment,Listed,92.93,6,23,76.4,6.4,8.9,122,Yes,6,576,8.4,1451,-2,23,10000,0,12,9.3,6,10,44,2065,3,Yes,87.39,94.24,78.55,42.75
"Cooper Industries, Ireland",775,Ireland,218199392507.127,*,9,2733,Electrical components & equipment,Listed,87.37,0,40,25.9,2.8,5.3,337,Yes,-38,-28,10.7,3139,-22,-9,28255,-9,-8,3.1,10,53,,4372,30,Yes,87.81,65.45,51.71,44.28
"Icahn Enterprises, USA",805,USA,14617299295858.1,*,17,2727,Diversified industrials,Listed,86.69,-1,,11.8,2.3,5.4,734,Yes,,,19.4,3793,20,,42368,-2,,2.0,1,,53,1918,,No,87.93,92.27,,
"Shanghai Electric, Hong Kong",660,Hong Kong,214145226330.175,*,21,2757,Industrial machinery,Listed,98.36,12,122,42.4,1.9,5.4,232,Yes,-21,-26,4.4,5227,-2,20,29168,-7,-8,3.4,20,143,,7834,-18,No,87.94,51.14,23.50,14.78
"Life Technologies, USA",402,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,208.74,137,190,85.3,10.3,15.8,245,Yes,139,380,12.0,2031,102,143,9000,-7,52,23.2,155,77,,5012,0,No,88.24,71.73,66.63,61.49
"Intersil, USA",81,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,89.82,1,11,350.9,23.7,25.5,26,Yes,,,6.8,379,-21,-15,1503,-2,4,59.8,3,7,,794,-24,No,88.91,83.21,78.31,73.23
"King Pharmaceuticals, USA",379,USA,14617299295858.1,*,34,4577,Pharmaceuticals,Listed,61.09,-32,-23,41.3,5.6,7.7,148,Yes,,65,13.4,1100,14,-5,2649,-22,-4,23.1,-13,-23,,1326,-17,No,89.90,92.53,88.92,45.83
"Incyte, USA",415,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,70.40,-22,5,,1227.1,1231.3,-111,No,,,-1940.6,6,136,-50,221,4,15,318.5,-25,-8,,981,180,Yes,90.22,64.95,54.24,59.21
"Mitsubishi Gas Chemical, Japan",949,Japan,5470777391091.97,*,6,1353,Commodity chemicals,Listed,97.83,8,27,183.4,3.3,11.8,53,Yes,-87,-84,1.8,2978,-14,-2,4902,5,8,20.0,4,17,8,1582,-8,No,90.22,76.42,71.19,71.35
"Veolia Environnement, France",257,France,2592078593347.73,,16,7577,Water,Listed,129.90,44,77,8.2,0.4,5.0,1575,Yes,-8,-14,5.1,31062,-5,13,291000,-2,7,0.4,47,66,,7871,-20,No,90.27,80.77,66.82,55.89
"Skyworks Solutions, USA",88,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,76.78,-15,-16,168.8,15.5,20.3,45,Yes,-24,80,9.2,497,-7,1,3300,0,-10,23.3,-15,-7,87,1886,60,Yes,90.42,78.07,101.62,94.26
"UBE Industries, Japan",951,Japan,5470777391091.97,*,6,1353,Commodity chemicals,Listed,93.95,4,12,62.4,2.1,7.1,151,Yes,-54,-38,3.3,4555,-3,9,11264,2,3,8.3,2,8,9,1491,-11,No,90.45,86.61,83.07,76.47
"Tosoh, Japan",950,Japan,5470777391091.97,*,6,1353,Commodity chemicals,Listed,95.79,6,21,,2.0,9.6,-119,No,-130,-132,-2.4,4879,-11,3,11166,1,11,8.6,5,9,,957,-15,No,90.47,84.48,73.84,67.85
"E.ON, Germany",260,Germany,3260114884059.16,,16,7575,Multiutilities,FT Global 500,71.97,-21,46,1.0,0.1,10.5,7559,Yes,205,30,10.4,72776,-6,20,93618,0,9,0.8,-21,39,2,35854,-26,No,90.63,61.31,23.99,21.32
"Sanken Electric, Japan",82,Japan,5470777391091.97,*,39,9576,Semiconductors,Listed,89.59,-1,11,,9.2,17.5,-61,No,-256,-191,-6.2,978,-20,-18,10063,-3,-2,8.9,2,9,14,263,-10,No,90.94,85.06,74.84,71.39
"Lonza, Switzerland",917,Switzerland,566764598976.798,,6,1357,Specialty chemicals,Listed,82.67,-9,16,57.7,5.1,23.9,143,Yes,-46,-36,8.9,1611,-8,-4,8424,4,25,9.8,-13,-6,,2717,-16,No,91.06,75.48,64.70,53.32
"BYD, China",727,China,1565186460764.05,*,9,2737,Electronic equipment,Listed,102.54,12,84,25.3,2.9,17.7,405,Yes,161,193,11.3,3580,47,134,160000,23,62,0.6,-9,21,,8949,22,Yes,91.45,80.82,25.50,25.66
"Trimble Navigation, USA",732,USA,14617299295858.1,*,9,2737,Electronic equipment,Listed,84.61,-8,17,154.9,12.1,13.3,55,Yes,-54,-45,7.8,697,-15,6,3794,-4,18,22.3,-4,-1,50,2050,12,Yes,91.81,81.41,64.30,52.19
"Avid Technology, USA",312,USA,14617299295858.1,*,26,5553,Broadcasting & entertainment,Listed,74.92,-19,-12,,19.2,22.2,-43,No,,,-11.1,389,-26,-27,2142,-9,-18,35.0,-11,7,58,274,-5,No,92.02,93.32,87.54,68.94
"Linde, Germany",956,Germany,3260114884059.16,,6,1353,Commodity chemicals,FT Global 500,79.08,-14,-48,7.8,0.8,9.9,1020,Yes,-11,9,10.2,9961,-11,-5,49093,-4,-3,1.6,-10,-47,53,12266,19,Yes,92.40,86.18,225.68,201.69
"Metallurgical Corporation of China, China",801,China,1565186460764.05,,17,2727,Diversified industrials,Listed,131.52,42,,18.1,0.9,7.0,728,Yes,49,,4.9,14968,5,,120385,,,1.1,,,,7062,,No,92.61,,,
"Lubrizol, USA",911,USA,14617299295858.1,*,6,1357,Specialty chemicals,Listed,91.46,-1,4,17.9,3.2,6.3,512,Yes,1298,168,18.0,2840,-9,4,6700,-4,-5,13.7,3,9,63,3814,48,Yes,92.64,91.77,83.78,82.85
"Wincor Nixdorf, Germany",221,Germany,3260114884059.16,,37,9533,Computer services,Listed,91.74,-1,13,59.5,4.6,6.5,154,Yes,-10,13,7.7,1999,-3,10,9447,5,21,9.7,-6,-7,25,1229,15,Yes,92.87,85.80,77.69,69.31
"Deutsche Borse, Germany",227,Germany,3260114884059.16,,11,8777,Investment services,Listed,79.25,-15,-9,14.2,4.1,5.8,560,Yes,-58,-43,29.2,1918,-20,-2,3549,6,14,22.3,-20,-20,17,7907,-11,No,92.94,98.89,93.29,64.24
"Fujikura, Japan",773,Japan,5470777391091.97,*,9,2733,Electrical components & equipment,Listed,99.70,7,18,,2.6,8.4,-74,No,-172,-148,-1.9,3816,-13,11,46466,-6,20,2.1,14,-6,,996,-20,No,93.05,81.76,81.50,80.67
"Chubu Electric Power, Japan",270,Japan,5470777391091.97,*,8,7535,Conventional electricity,FT Global 500,93.45,0,-8,25.8,0.6,11.3,362,Yes,-68,-78,2.2,16696,3,12,16266,2,0,5.7,-2,-8,,11931,7,Yes,93.43,94.86,110.67,106.57
"Anritsu, Japan",734,Japan,5470777391091.97,*,9,2737,Electronic equipment,Listed,77.85,-17,-9,,13.9,16.2,-10,No,,-205,-1.7,558,-16,-11,3697,-7,-5,21.1,-11,-3,37,488,51,Yes,93.89,93.60,83.21,69.94
"Smith & Nephew, UK",461,UK,2427911661952.04,,19,4535,Medical equipment,Listed,95.98,2,19,21.0,4.1,9.8,458,Yes,15,40,19.6,2336,-1,23,9764,0,7,9.8,2,11,,5066,21,Yes,94.12,87.93,74.31,67.00
"National Instruments, USA",730,USA,14617299295858.1,*,9,2737,Electronic equipment,Listed,90.13,-5,14,304.0,21.5,24.6,30,Yes,-50,-47,7.1,419,-18,-3,5120,-1,15,17.6,-4,0,,1434,19,Yes,94.51,83.48,74.61,62.69
"CSR, UK",20,UK,2427911661952.04,,39,9578,Telecommunications equipment,Listed,103.79,10,45,,27.9,29.1,-10,No,,-115,-2.6,372,-13,-12,1167,11,39,88.9,-1,6,88,577,-30,No,94.59,87.27,67.69,37.37
"Cardinal Health, USA",323,USA,14617299295858.1,*,13,5333,Drug retailers,Listed,103.47,9,42,8.8,0.2,0.7,1178,Yes,-4,11,1.9,61684,9,18,46500,-2,-8,2.2,12,51,,7031,-4,No,94.68,63.66,60.93,72.57
"Quest Software, USA",182,USA,14617299295858.1,*,37,9537,Software,Listed,89.40,-6,22,172.6,20.8,22.4,52,Yes,6,21,12.0,431,-5,16,3365,-3,8,26.6,-3,13,38,1080,24,Yes,95.03,75.91,68.50,54.42
"KBC, Belgium",254,Belgium,467559394365.929,,4,8355,Banks,Listed,67.53,-29,18,,1.4,11.8,-2471,No,,-228,-52.4,4718,10,-50,56939,-4,5,1.2,-26,13,,9477,25,Yes,95.07,39.98,69.30,24.88
"Huntsman, USA",952,USA,14617299295858.1,*,6,1353,Commodity chemicals,Listed,89.79,-6,14,,1.9,4.3,-43,No,-106,-109,-0.9,4807,-24,-34,11000,-13,-14,8.2,8,32,65,1373,31,Yes,95.36,89.60,71.46,59.14
"DST Systems, USA",219,USA,14617299295858.1,*,37,9533,Computer services,Listed,109.05,14,10,53.6,7.9,12.4,204,Yes,-10,-20,14.8,1373,-3,-5,11200,3,4,9.7,10,5,6,1191,-15,No,96.04,96.72,97.59,105.77
"Shiseido, Japan",486,Japan,5470777391091.97,*,33,3767,Personal products,Listed,101.39,5,-5,39.6,2.2,4.5,256,Yes,-39,13,5.6,4591,-5,1,28810,0,8,3.5,5,-13,21,5442,30,Yes,96.89,107.31,109.44,111.50
"GKN, UK",590,UK,2427911661952.04,,3,3355,Auto parts,Listed,95.00,-2,11,166.7,2.3,5.1,57,Yes,,-52,1.4,4223,-3,9,35315,-7,-5,2.7,6,17,,2107,17,Yes,97.00,83.00,75.00,88.00
"Vilmorin, France",551,France,2592078593347.73,,14,3573,Farming & fishing,Listed,109.46,12,68,148.1,12.3,16.2,74,Yes,-28,9,8.3,890,12,42,5236,19,34,20.9,-5,31,40,985,19,Yes,97.56,88.94,39.63,33.76
"PMC-Sierra, USA",79,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,92.38,-5,0,266.3,30.1,31.3,35,Yes,16,,11.3,307,-6,17,1079,1,4,85.6,-7,-3,87,1025,-16,No,97.62,98.54,98.25,73.52
"TeliaSonera, Sweden",292,Sweden,466459315772.176,,12,6535,Fixed line telecommunications,FT Global 500,81.79,-16,-56,3.1,0.9,11.4,2640,Yes,6,25,27.9,9467,5,15,28815,-4,2,2.8,-13,-57,13,20258,17,Yes,97.74,175.28,216.04,249.35
"Eastman Chemical, USA",954,USA,14617299295858.1,*,6,1353,Commodity chemicals,Listed,84.84,-13,-15,44.3,2.7,8.9,191,Yes,-39,-51,6.1,3125,-27,-30,10000,-5,-10,8.5,-9,-6,46,2690,10,Yes,97.84,96.60,103.41,100.32
"Casio Computer, Japan",514,Japan,5470777391091.97,*,24,3743,Consumer electronics,Listed,84.02,-14,-25,,2.4,4.8,-181,No,-182,-171,-5.3,3446,-17,-13,12358,-6,-3,6.8,-9,-23,30,1251,-9,No,98.11,119.86,121.10,110.53
"Funai Electric, Japan",731,Japan,5470777391091.97,*,9,2737,Electronic equipment,Listed,86.85,-12,-5,,4.3,5.9,-19,No,,-116,-0.9,2014,9,-15,2590,-1,-25,33.5,-10,22,83,694,-17,No,98.37,93.37,93.81,80.41
"Molex, USA",728,USA,14617299295858.1,*,9,2737,Electronic equipment,Listed,95.36,-3,-1,112.5,5.1,12.8,85,Yes,,-15,4.6,1862,16,0,35519,41,16,2.7,-31,-16,,1867,1,Yes,98.58,101.55,98.52,87.25
"China Communications Construction, China",852,China,1565186460764.05,,7,2357,Heavy construction,Listed,157.56,60,334,13.9,0.8,7.4,1134,Yes,9,57,5.5,20583,27,72,100461,8,17,1.6,48,202,,8365,-28,No,98.60,25.31,16.24,5.17
"Bio-Rad Laboratories, USA",460,USA,14617299295858.1,*,19,4535,Medical equipment,Listed,101.30,3,22,70.5,9.2,12.9,144,Yes,34,68,13.0,1105,1,26,6600,0,12,15.3,3,9,68,1473,4,Yes,98.78,87.02,76.40,71.28
"Teradata, USA",220,USA,14617299295858.1,*,37,9533,Computer services,Listed,108.99,10,,52.7,10.3,12.0,207,Yes,-1,,19.5,1058,-3,,6600,3,,16.5,7,,,3087,7,Yes,99.08,105.89,,
"voestalpine, Austria",886,Austria,384823184161.595,,22,1757,Iron & steel,Listed,96.67,-3,31,31.4,1.3,7.4,308,Yes,-66,-65,4.1,7597,-27,-5,41646,-4,24,2.3,2,5,,3196,5,Yes,99.51,82.54,58.64,54.64
"Misys, UK",179,UK,2427911661952.04,,37,9537,Software,Listed,103.90,4,14,83.7,13.3,14.5,124,Yes,164,140,15.9,782,13,1,6130,13,7,16.9,-8,7,,1406,39,Yes,99.60,72.10,88.60,104.10
"Burelle, France",594,France,2592078593347.73,,3,3355,Auto parts,Listed,65.39,-34,-30,114.3,3.0,5.8,57,Yes,,7,2.6,2189,-10,-6,12441,-5,-2,5.3,-31,-29,,239,113,Yes,99.65,85.06,93.60,93.71
"China Coal Energy, China",876,China,1565186460764.05,,27,1775,General mining,FT Global 500,115.20,15,,12.8,2.4,19.4,901,Yes,1,44,18.7,4824,4,44,55614,9,8,2.1,5,,0,11456,,No,99.78,46.35,,
"Integrated Device Technology, USA",78,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,97.52,-2,1,,29.4,31.8,-23,No,,,-7.0,332,-19,-23,2004,-5,-16,48.7,3,19,83,520,-24,No,99.82,102.54,103.06,79.01
"NTN, Japan",653,Japan,5470777391091.97,*,21,2757,Industrial machinery,Listed,115.76,16,18,,3.3,13.6,-36,No,-111,-114,-1.0,3506,-1,15,20679,9,30,5.6,6,-11,48,1339,-8,No,99.82,94.60,98.25,99.47
"Pou Chen, Taiwan",489,Taiwan,392106000000,*,33,3765,Footwear,Listed,94.82,-6,5,27.6,2.4,7.1,343,Yes,23,32,8.6,3997,-1,11,332653,-4,,0.3,-3,,,1425,18,Yes,101.03,95.57,85.70,80.08
"Harley-Davidson, USA",626,USA,14617299295858.1,*,3,3353,Automobiles,Listed,88.61,-12,-26,73.0,3.0,5.4,121,Yes,-81,-86,4.1,2961,-15,-18,7300,-22,-20,12.1,12,-8,25,3729,13,Yes,101.25,124.84,133.63,121.06
"Kuraray, Japan",948,Japan,5470777391091.97,*,6,1353,Commodity chemicals,Listed,108.81,7,19,94.9,4.3,4.3,115,Yes,-55,-41,4.6,2506,-10,-2,6861,1,0,15.9,6,18,29,2790,7,Yes,101.44,79.84,93.58,92.29
"Watson Pharmaceuticals, USA",363,USA,14617299295858.1,*,34,4577,Pharmaceuticals,Listed,117.96,16,40,48.2,6.8,8.8,245,Yes,7,268,14.1,1730,10,29,5830,15,14,20.2,1,20,,3227,43,Yes,101.69,87.99,77.17,71.19
"Yokohama Rubber, Japan",563,Japan,5470777391091.97,*,3,3357,Tyres,Listed,101.62,0,4,,3.0,11.1,-12,No,-108,-108,-0.3,3441,-6,8,16772,4,13,6.1,-4,-8,,1047,-5,No,101.70,97.44,96.83,94.89
